Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	N_ul	N_16	N_16C9	N_17
DG 30:0;Y	0.4	0.5	0.6	0.4	0.5	0.6	0.6	0.5	0.5	0.5	0.5	0.5	1	1	0	0
DG 32:3;Y	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	1	1	0	0
DG 32:2;Y	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	1	1	0	0
DG 32:1;Y	3.1	3.3	3.1	3.2	3.1	3.4	3.8	3.3	2.8	3.6	3.7	2.1	1	1	0	0
DG 32:0;Y	6.3	6.9	6.8	6.1	7.4	7.5	7.3	6.7	6.5	6.8	8.3	5.5	1	1	0	0
DG 34:3;Y	0.4	0.4	0.5	0.4	0.5	0.5	0.4	0.4	0.4	0.6	0.5	0.4	1	1	0	0
DG 34:2;Y	3.3	3.6	3.2	3.4	3.6	3.3	4.1	3.6	3.0	3.8	3.6	2.4	1	1	0	0
DG 34:1;Y	7.4	8.5	6.4	7.6	7.8	7.1	8.7	7.7	5.9	8.2	8.2	5.3	1	1	0	0
DG 34:0;Y	0.5	0.8	0.8	0.6	0.7	0.7	0.9	0.6	0.7	0.7	0.8	0.6	1	1	0	0
DG 36:4;Y	0.3	0.3	0.2	0.3	0.3	0.2	0.3	0.2	0.3	0.3	0.3	0.2	1	1	0	0
DG 36:3;Y	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	1	1	0	0
DG 36:2;Y	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0.2	1	1	0	0
DG 36:1;Y	0.4	0.5	0.3	0.3	0.4	0.3	0.5	0.4	0.4	0.4	0.4	0.2	1	1	0	0
DG 38:6;Y	0.6	0.9	0.7	0.6	0.6	0.7	0.7	0.6	0.6	0.6	0.7	0.5	1	1	0	0
DG 38:4;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	1	0	0
DG 38:3;Y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0	0
DG 30:0;Y	0.2	0.2	0.2	0.3	0.3	0.3	0.2	0.2	0.2	0.2	0.3	0.2	1	0	1	0
DG 32:1;Y	2.7	3.3	2.9	3.5	3.6	2.9	3.3	3.3	2.7	3.4	3.7	2.2	1	0	1	0
DG 32:0;Y	3.8	4.6	4.7	4.3	5.1	4.7	4.6	4.0	4.3	4.7	4.8	3.4	1	0	1	0
DG 34:3;Y	0.1	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.2	1	0	1	0
DG 34:2;Y	2.4	3.3	2.4	3.4	3.1	2.5	3.1	2.3	2.2	3.3	2.7	2.0	1	0	1	0
DG 34:1;Y	8.2	10.1	8.6	9.4	9.6	8.4	9.6	9.0	7.5	9.5	9.9	6.3	1	0	1	0
DG 34:0;Y	0.2	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.1	1	0	1	0
DG 36:4;Y	0.4	0.4	0.3	0.4	0.4	0.4	0.5	0.4	0.4	0.4	0.4	0.2	1	0	1	0
DG 36:3;Y	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	1	0	1	0
DG 36:2;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0	1	0
DG 36:1;Y	0.2	0.3	0.2	0.2	0.3	0.2	0.2	0.2	0.2	0.3	0.3	0.2	1	0	1	0
DG 38:6;Y	1.0	1.1	1.1	1.1	0.9	1.0	1.2	0.8	0.8	1.2	1.0	0.8	1	0	1	0
DG 38:5;Y	0.3	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.2	1	0	1	0
DG 38:4;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.1	0.1	0.2	0.1	1	0	1	0
DG 31:2;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0	0	1
DG 31:1;Y	1.3	1.6	1.4	1.4	1.4	1.6	1.6	1.6	1.3	1.6	1.6	1.1	1	0	0	1
DG 31:0;Y	3.8	3.9	4.2	3.4	4.3	4.3	4.4	4.1	3.8	4.3	4.7	3.0	1	0	0	1
DG 33:3;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.0	1	0	0	1
DG 33:2;Y	2.3	2.2	2.1	1.8	2.1	2.2	2.3	2.1	1.7	2.5	2.3	1.4	1	0	0	1
DG 33:1;Y	19.7	22.7	22.9	16.9	21.6	23.0	22.4	22.2	19.0	21.8	23.3	14.2	1	0	0	1
DG 33:0;Y	28.0	30.5	31.8	25.7	31.6	32.1	33.0	30.1	28.6	32.2	33.2	21.1	1	0	0	1
DG 35:3;Y	0.9	0.9	0.8	0.7	0.8	0.8	1.0	0.8	0.8	0.9	0.8	0.5	1	0	0	1
DG 35:2;Y	10.6	13.2	11.4	10.3	11.5	10.5	12.3	10.4	9.1	11.8	10.6	6.9	1	0	0	1
DG 35:1;Y	30.1	33.2	32.9	28.7	31.0	31.5	35.3	30.3	28.6	34.4	31.2	22.0	1	0	0	1
DG 35:0;Y	1.0	1.1	1.0	0.9	1.1	0.8	0.8	0.8	0.7	1.0	0.9	0.4	1	0	0	1
DG 37:6;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	1	0	0	1
DG 37:4;Y	1.1	1.4	1.5	1.0	1.2	1.1	1.3	1.2	0.9	1.6	1.4	0.8	1	0	0	1
DG 37:3;Y	0.3	0.5	0.3	0.3	0.3	0.3	0.3	0.3	0.2	0.4	0.3	0.2	1	0	0	1
DG 37:2;Y	0.2	0.3	0.3	0.3	0.2	0.2	0.3	0.3	0.2	0.3	0.3	0.1	1	0	0	1
DG 37:1;Y	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	1	0	0	1
